"","Water","SearchAndRescue","InfraAndUtilities","ExtreViolenceTerro","Medical","VioCiviUnre","Evacuation","Energy","Shelter","Intervention","Food","Sanitation","ElecAndPolit","pred","topic"
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"87",3,0,0,0,0,0,0,0,0,0,0,3,0,"Water",13
"88",0,0,0,0,0,0,0,0,0,0,9,0,0,"Food",5
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"90",0,0,0,0,0,1,0,0,0,0,0,0,0,"VioCiviUnre",12
"91",0,0,0,0,2,0,0,0,0,0,0,0,0,"Medical",8
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"93",0,0,0,0,0,0,0,0,0,0,0,2,0,"Sanitation",9
"94",0,0,0,0,2,0,0,0,0,0,0,0,0,"Medical",8
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"96",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"98",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"99",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"100",0,0,0,0,0,0,0,0,0,0,0,4,0,"Sanitation",9
"101",0,0,0,0,0,0,0,0,0,0,0,2,0,"Sanitation",9
"102",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"104",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"106",0,0,0,0,1,0,0,0,0,0,0,3,0,"Sanitation",9
"107",0,0,0,0,0,0,0,0,0,0,0,4,0,"Sanitation",9
"108",0,0,0,0,1,0,0,0,0,0,0,1,0,"Medical",8
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"110",0,0,0,0,0,0,0,0,0,0,0,3,0,"Sanitation",9
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"112",0,0,0,0,0,0,0,0,0,0,0,4,0,"Sanitation",9
"113",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"114",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"115",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"118",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"119",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"123",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"125",0,0,0,0,0,0,0,0,0,0,0,3,0,"Sanitation",9
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"128",0,0,0,0,0,0,0,0,0,0,0,2,0,"Sanitation",9
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"130",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"131",0,0,0,0,0,0,0,0,0,0,0,2,0,"Sanitation",9
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"133",0,0,0,0,0,0,0,0,0,0,0,2,0,"Sanitation",9
"134",0,0,0,0,0,0,0,0,0,0,0,16,0,"Sanitation",9
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"140",0,0,0,0,8,0,0,0,0,0,0,0,0,"Medical",8
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"142",0,0,0,0,1,0,0,0,0,0,0,0,0,"Medical",8
"143",0,0,0,0,6,0,0,0,0,0,0,1,0,"Medical",8
"144",0,0,0,0,2,0,0,0,0,0,0,1,0,"Medical",8
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"147",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"149",0,0,0,0,2,0,0,0,0,0,0,0,0,"Medical",8
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"151",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"154",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"155",0,0,0,0,1,0,0,0,0,0,0,0,0,"Medical",8
"156",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"159",0,0,0,0,5,0,0,0,0,0,0,0,0,"Medical",8
"160",0,0,0,0,6,0,0,0,0,0,0,4,0,"Medical",8
"161",0,0,0,0,11,0,0,0,0,0,0,1,0,"Medical",8
"162",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"163",0,0,0,0,0,0,0,0,0,0,0,2,0,"Sanitation",9
"164",0,0,0,0,4,0,0,0,0,0,0,0,0,"Medical",8
"165",0,0,0,0,2,0,0,0,0,0,0,0,0,"Medical",8
"166",0,0,0,0,3,0,0,0,0,0,0,0,0,"Medical",8
"167",0,0,0,0,7,0,0,0,0,0,0,0,0,"Medical",8
"168",0,0,0,0,19,0,0,0,0,0,0,0,0,"Medical",8
"169",0,0,0,0,4,0,0,0,0,0,0,1,0,"Medical",8
"170",0,0,0,0,2,0,0,0,0,0,0,0,0,"Medical",8
"171",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"172",0,0,0,0,0,0,0,0,0,0,0,6,0,"Sanitation",9
"173",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"175",0,0,0,0,2,0,0,0,0,0,0,0,0,"Medical",8
"176",0,0,0,0,3,0,0,0,0,0,0,0,0,"Medical",8
"177",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"178",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"181",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"183",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"184",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"185",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"186",3,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"188",0,0,0,0,1,0,0,0,0,0,0,0,0,"Medical",8
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"190",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"191",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"192",0,0,0,0,0,0,0,1,0,0,0,0,0,"Energy",2
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"194",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"195",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"197",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"198",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"200",4,0,0,0,0,0,0,2,0,0,0,0,0,"Water",13
"201",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"202",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"203",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"204",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"205",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"206",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"207",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"208",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"209",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"211",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"212",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"213",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"214",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"215",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"217",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"218",3,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"219",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"221",0,0,0,0,0,0,0,0,0,0,1,0,0,"Food",5
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"223",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"224",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"225",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"226",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"227",0,0,0,0,0,0,0,0,0,0,0,1,0,"Sanitation",9
"228",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"229",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"230",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"231",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"233",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"234",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"235",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"236",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"237",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"238",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"239",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"240",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"241",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"242",0,0,0,0,0,0,0,0,0,0,1,0,0,"Food",5
"243",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"244",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"245",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"247",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"248",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"249",0,0,0,0,0,0,0,0,0,0,1,0,0,"Food",5
"250",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"251",0,4,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"252",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"253",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"254",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"255",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"256",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"257",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"258",0,1,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"259",0,0,0,0,2,0,0,0,0,0,0,0,0,"Medical",8
"260",0,0,0,0,0,0,0,0,0,0,0,0,1,"ElecAndPolit",1
"261",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"262",0,1,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"263",1,0,0,0,0,0,0,0,0,2,0,0,0,"Intervention",7
"264",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"265",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"266",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"267",0,0,0,0,2,0,0,0,0,0,0,0,0,"Medical",8
"268",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"269",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"270",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"271",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"272",1,0,0,0,0,0,0,0,0,1,0,0,0,"Water",13
"273",0,0,0,0,0,0,0,0,0,0,0,0,2,"ElecAndPolit",1
"274",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"275",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"276",0,0,0,0,1,0,0,0,0,0,0,0,0,"Medical",8
"277",0,0,0,0,1,0,0,0,0,0,0,0,0,"Medical",8
"278",0,1,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"279",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"280",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"281",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"282",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"283",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"284",0,3,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"285",0,4,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"286",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"287",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"288",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"289",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"290",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"291",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"292",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"293",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"294",0,1,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"295",0,4,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"296",0,1,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"297",0,1,0,0,0,0,0,0,0,0,0,0,0,"SearchAndRescue",10
"298",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"299",0,0,0,0,0,0,0,0,0,0,0,0,1,"ElecAndPolit",1
"300",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"301",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"302",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"303",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"304",0,0,0,0,0,0,0,0,1,0,0,0,0,"Shelter",11
"305",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"306",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"307",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"308",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"309",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"310",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"311",0,0,0,0,0,0,0,0,2,0,0,0,0,"Shelter",11
"312",0,0,0,0,0,0,0,0,0,0,0,0,1,"ElecAndPolit",1
"313",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"314",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"315",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"317",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"318",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"319",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"320",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"321",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"322",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"323",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"324",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"325",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"326",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"327",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"328",0,0,0,0,0,0,0,0,2,0,0,0,0,"Shelter",11
"329",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"330",0,0,0,0,0,0,0,0,1,0,0,0,1,"Shelter",11
"331",0,0,0,0,0,1,0,0,0,0,0,0,0,"VioCiviUnre",12
"332",0,0,0,0,0,0,0,0,1,0,0,0,0,"Shelter",11
"333",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"334",1,0,0,0,0,0,0,0,0,0,0,1,0,"Water",13
"335",4,0,0,0,0,0,0,0,0,0,0,1,0,"Water",13
"336",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"337",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"338",6,0,0,0,0,0,0,0,0,0,0,4,0,"Water",13
"339",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"340",4,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"341",12,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"342",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"343",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"344",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"345",6,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"346",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"347",4,0,0,0,1,0,0,0,0,0,0,4,0,"Water",13
"348",4,0,0,0,0,0,0,0,0,0,0,1,0,"Water",13
"349",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"350",2,0,0,0,0,0,0,0,0,0,0,4,0,"Sanitation",9
"351",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"352",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"353",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"354",12,0,0,0,0,0,0,0,0,0,0,1,0,"Water",13
"355",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"356",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"357",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"358",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"359",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"360",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"361",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"362",3,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"363",8,0,0,0,0,0,0,1,0,0,0,1,0,"Water",13
"364",7,0,0,0,0,0,0,0,0,0,0,1,0,"Water",13
"365",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"366",17,0,0,0,0,0,0,0,0,0,0,3,0,"Water",13
"367",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"368",3,0,0,0,0,0,0,0,0,0,0,1,0,"Water",13
"369",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"370",3,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"371",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"372",10,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"373",4,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"374",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"375",4,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"376",1,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"377",0,0,0,0,0,0,0,0,0,0,0,0,0,"-",NA
"378",16,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"379",2,0,0,0,0,0,0,3,0,0,0,3,0,"Energy",2
"380",2,0,0,0,0,0,0,0,0,0,0,0,0,"Water",13
"381",0,0,11,0,0,0,0,0,0,0,0,0,0,"InfraAndUtilities",6
"382",0,0,47,0,0,0,0,0,0,0,0,0,0,"InfraAndUtilities",6
"383",0,0,1,0,0,0,0,0,0,0,0,0,1,"InfraAndUtilities",6
"384",0,0,7,0,0,0,0,0,0,0,0,0,1,"InfraAndUtilities",6
