"topic_number","topic"
"1","Elections and Politics"
"2","Energy"
"3","Evacuation"
"4","Extreme Violence, Terrorism"
"5","Food"
"6","Infrastructure and Utilities"
"7","Intervention"
"8","Medical"
"9","Sanitation"
"10","Search and Rescue"
"11","Shelter"
"12","Violent Civil Unrest"
"13","Water"
