"","topic","top_topic","n","top_num"
"1","Elections and Politics",5,62,1
"2","Energy",6,44,2
"3","Evacuation",18,60,3
"4","Extreme Violence, Terrorism",12,64,4
"5","Food",21,88,5
"6","Infrastructure and Utilities",23,40,6
"7","Intervention",1,48,7
"8","Medical",24,95,8
"9","Sanitation",24,28,9
"10","Search and Rescue",9,49,10
"11","Shelter",2,34,11
"12","Violent Civil Unrest",16,37,12
"13","Water",4,48,13
